BlockNumber, BlockName, SHA512, MurmurHashValue
1,user1a_0.txt,2423bd16a71c9aac09c3e3181e4012bf957ca00c8584ccd30be4f843ba503b771be190371b57bdd161267f7a7fd906a5cee6b02f1ca76c97cb8317c45e8d743c,e3087695
2,user1a_1.txt,1d91e9652dc0868cfd5dd916fc9b1a0a95747d24833747de18d53865970bf81a3d1638acdd2bf1580f3c872b74f48413365b4828938bcb22149e3ea15a21cd70,5f09fddf
3,user1a_2.txt,935903bdc2a043258b6b81e72ff84b4e2ad0721ddda1ed25bf5268bdfc84ff1070b219c4c6ed2df077fb2ae0db96695a728fdae09ba4560df49eb6a2b1a6a687,66900c10
4,user1a_3.txt,9f44a1f78b2647302aa40c403069724ec845b303e409bf94c8c79b123983718fd7e5446958bf961f57e364aefbcce38fa305f1405b6e3eb5cd3b81cc5b44b57f,220bd3a
5,user1a_4.txt,03c2914f705eb1007daee60953ed33c382a7950398c1133b1704e406b189e17b61d5106e3ff2ff8578c6e7ba44d6ec555b4afc95f51b94c430a6d67feb4ec49a,dc93dfb8
6,user1a_5.txt,6fa6451a52d5596da6b5198df86f624ea0d799b693e5123f2e1f592594b97bf8230f02c4736edfd2855b408b6318ac3fa4dad92a34668be95a92b0e50805f8bf,219411f
7,user1a_6.txt,0988eb74df314d7b70f937c1698ef02ea79e35e7b01d86fe9c388e39ecb3b9f85f8b31f91cf72b27a5b74f9c951e751c4dcd5d868bbf0d7881acd29e1a96a404,980353ae
8,user1a_7.txt,817354fa0febd71d76e43547266e5b6f2eaf152a77a7de59a20c8a2ceeca50a75173820960dd264c58e88f8bc2d0b0b08b57b7161e7cb64a949ca92d4efe1f00,8fc36ad2
9,user1a_8.txt,1158d5efd6ab507c092103cfac0a5699032dc6b941b7f10a4f9322dbe31db3a2509b5a7266f9d76e9340626385a18179974e35da4f26d75d96fc2d53e76c4659,a9f560c
10,user1a_9.txt,5f802a4db28282b93324941935413e0765f930a22f029e831e78e4ec157bc0bb6f0e0e332bf0bd54830548de79be90ca0ac4127cfacdd437ca6db364b7da0b7d,1508b866
11,user1a_10.txt,6c289c18a49b1eaada60de821d0c8cc88081896034186c11992c73ece005d78e9f7338c415f7504c387ea7603fc0a1dbb83f16172127b8af17782a984f8c629a,ba8c3425
12,user1a_11.txt,1900b0f02128b8b7d443e5294a3cf1fd679f97bff36f3fe781e50ee4eed12c3973f5ea89922200cb2b73e3d7b86c8ee87164969bcab489e4b14164a5fd890bb8,677f725e
13,user1a_12.txt,48ccb0ac8dc8b00e77782bcd5476403d28ef7e36e5f5d7d6b209793f4f6961178f8613949db12367b2c46ee8d15ed8f10701ced62f9d41728e72f36699305d6f,adaf554f
14,user1a_13.txt,53f1a2c0d42e3550419a1b3b9c76aa9238fe3da30fb0cf14c6bb1ac24477c2ed8552bd38e3f37dd33292d4aecdcbf04b557c2e6d5373fbd36367721a7088f658,497ed3fe
15,user1a_14.txt,9f17609f53e15327ac2d7ae6051eaeba350246fdebd5a34a0521b964ce9aa1959e430dfe957c47cf4bcc9a354192f4960bca99939294ce12bc60fc9ca444cb46,dbb57023
16,user1a_15.txt,783efc8908f265443f66134e6dfe0d7ac78ec6bedffa6160fc83da0693a6ea7b3321c0de1802b08c23e449363f401c26a95f0df952e27e2ae7284e0cf5561c5d,aa12ae29
